address,Latitude,Longitude
300 N Ingalls Building 300 N Ingalls,42.283524,-83.738434
411 Lofts 411 E Washington,42.280452,-83.743587
AADL Main Branch MD 343 S Fifth Ave,42.2781566,-83.7458934
AADL Mallets Creek MD 3090 E Eisenhower Pkwy,42.2436692,-83.7180109
AADL Pittsfield MD 2359 Oak Valley Dr,42.2526037,-83.7780261
AADL Traverwood MD 3333 Traverwood Dr,42.308186,-83.7141668
AADL Westgate MD 2503 Jackson Rd,42.27848,-83.783081
Administrative Services Building 1009 Greene St,42.2687029,-83.7465582
Afternoon Delight - MD 251 E Liberty,42.2796363,-83.7463057
Alice Lloyd Hall MD 100 Observatory,42.281462,-83.7313308
Alumni Center 200 Fletcher Street,42.2801563,-83.7376517
Ambulatory Surgery Center 4270 Plymouth Rd,42.3087948,-83.6727391
Amer's Deli 312 S State St,42.2788044,-83.7410697
Angel Hall (B) MD 435 S State St,42.2766233,-83.7397101
Angelo's MD OB 1100 Catherine St,42.2829833,-83.735475
Arts and Architecture Building 2000 Bonisteel Ave,42.2892778,-83.7173495
Baits Housing 2 1440 Hubbard,42.2939649,-83.7239823
Bell Tower MD - OB 300 S Thayer St,42.2792556,-83.7398636
Betsy Barbour Hall MD 420 S State St,42.2773327,-83.7418228
Biologal Science Building 1105 N University Ave,42.2788651,-83.7345223
Biomedical Research Building 109 Zina Pritcher Pl,42.2819471,-83.7345484
Black Diesel Coffee MD 1423 E Stadium Blvd,42.2609569,-83.7305808
Bursley Hall 1931 Duffield,42.2936731,-83.7208787
C C Little 1100 N University Ave,34.7615402,-92.3415402
Cafe Verde MD 216 N Fourth Ave,42.2828447,-83.7468052
Campus Corner 818 S State St,42.2713181,-83.7408253
Campus Police Building 1239 Kipke Dr,42.2649421,-83.7437362
Chemistry Bldg 1 930 N University Ave,42.2780183,-83.7370191
Chrysler Building 2121 Bonisteel,42.290588,-83.716668
Col. of Pharmcy (CC Little 2) 428 Church St,42.2773423,-83.7348688
Cooley Lab 2355 Bonisteel Ave,42.2906213,-83.7136452
